1,Admin,admin@sealedleague.local,ADMIN
2,Sample Player 01,sample.player.01@sealedleague.local,REGULAR
3,Sample Player 02,sample.player.02@sealedleague.local,REGULAR
4,Sample Player 03,sample.player.03@sealedleague.local,REGULAR
5,Sample Player 04,sample.player.04@sealedleague.local,REGULAR
6,Sample Player 05,sample.player.05@sealedleague.local,REGULAR
7,Sample Player 06,sample.player.06@sealedleague.local,REGULAR
8,Sample Player 07,sample.player.07@sealedleague.local,REGULAR
9,Sample Player 08,sample.player.08@sealedleague.local,REGULAR
10,Sample Player 09,sample.player.09@sealedleague.local,REGULAR
11,Sample Player 10,sample.player.10@sealedleague.local,REGULAR
